Company Name,Last Update of this Information,Contact Email,Logo,Website,Country of HQ,Countries of Operation / Service,Company Size (# Employees),Year Founded,Legal Entity Name,Primary Focus,Subdomains,Technologies,Service Type,Target Customer,Short Description (about 500 words)
Quantinuum (EU Research),2023-08-05,cambridge-lab@quantinuum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/building%20kennel.svg,https://quantinuum.com/,UK/Global,Global,450,2021,Quantinuum Ltd. (Cambridge Lab),Quantum Algorithm Engineering,Quantum Chemistry; NLP; Optimization;,TKET; InQuanto; Lambeq;,Software; Research;,Biotech; Finance; Academia;,"Quantinuum's European research labs, particularly in Cambridge, are at the forefront of developing the software and algorithms needed to bridge the gap between quantum hardware and practical applications. Their TKET compiler is one of the most widely used tools for hardware-agnostic quantum programming.

Their research spans across quantum chemistry, where they work with pharmaceutical giants, and quantum natural language processing (QNLP). By building the full-stack software infrastructure, Quantinuum's European teams are ensuring that the continent remains a leader in the intellectual and computational development of the quantum era."
Prophesee,2023-07-20,info@prophesee.ai,https://www.prophesee.ai/wp-content/themes/prophesee/assets/img/logo.svg,https://www.prophesee.ai/,France,Global,100,2014,Prophesee SAS,Event-Based Vision \u0026 AI,Neuromorphic engineering; Computer Vision;,Metavision; Event-based sensors; AI;,Hardware; Software; IP;,Automotive; IoT; Industrial;,"Prophesee is the inventor of the world's most advanced neuromorphic vision systems. Their sensors and AI algorithms are inspired by the human eye and brain, focusing only on the changes (events) in a scene rather than processing full frames. This approach offers extreme speed, high dynamic range, and very low power consumption.

Based in Paris, the company works with leading electronics and automotive companies to integrate event-based vision into autonomous driving, industrial automation, and mobile devices. Prophesee's technology represents a major shift in how machines perceive the world, enabling a new generation of efficient and responsive AI applications."
Graphcore (Norway R\u0026D),2023-06-15,oslo-lab@graphcore.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20caution%20danger.svg,https://graphcore.ai/,Norway,Global,150,2018,Graphcore Norway AS,Next-Gen AI Chips R\u0026D,Silicon Design; Machine Learning Hardware;,IPU architecture; Poplar; HBM;,Research; Hardware IP;,Data Centers; Tech;,"Graphcore's R&D center in Norway is a key component of their global silicon design operation. The team focuses on the architectural and physical design of future generations of the Intelligence Processing Unit (IPU), specifically targeting exascale AI training and inference workloads.

By leveraging Norway's strong semiconductor engineering tradition, Graphcore is pushing the boundaries of what is possible with specialized AI hardware. Their work contributes to the continuous improvement of the IPU stack, ensuring that European-based R&D remains a critical driver of global AI hardware innovation."
DeepL (Linguistic Research),2023-05-10,research@deepl.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20surfing.svg,https://deepl.com/,Germany,Global,900,2017,DeepL SE (Cologne Lab),AI Research for Languages,Neural Machine Translation; NLP; LLMs;,Transformers; Proprietary Data; HPC;,Research; Software;,Global; Researchers;,"DeepL's central research lab in Cologne is the heart of their linguistic AI innovation. Their team of world-class researchers and engineers focuses on developing the neural architectures and data processing techniques that power the world's most accurate translator.

Their work goes beyond simple translation, exploring the frontiers of natural language understanding and generation (DeepL Write). By utilizing their own high-performance compute clusters and curated datasets, DeepL's researchers ensure that European AI remains at the top of the global benchmark for language quality and precision."
Pasqal (Application Support),2023-04-20,support@pasqal.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20skiing.svg,https://pasqal.com/,France,Global,150,2019,Pasqal SAS (Support Team),Quantum Industrial Support,Quantum Chemistry; Optimization; Simulation;,Pulser; Python; QaaS;,Services; Support; Training;,Industrial Partners; SMEs; Research;,"Pasqal's dedicated application support team works closely with industrial partners and research institutes to help them identify and implement quantum use cases on Pasqal's hardware. They provide the necessary expertise to translate complex business problems into quantum algorithms.

Through workshops, training programs, and collaborative R&D projects, they are building a practical ecosystem around neutral atom quantum computing. Their mission is to ensure that customers can derive real value from quantum simulations, paving the way for the broad industrial adoption of quantum technologies in Europe."
EuroHPC JU (Project Mgmt),2023-03-30,projects@eurohpc-ju.europa.eu,https://eurohpc-ju.europa.eu/logo.svg,https://eurohpc-ju.europa.eu/,Luxembourg,EU,50,2018,European High Performance Computing Joint Undertaking,HPC Project Management \u0026 Grants,Funding; Research Coordination; Infrastructure;,LUMI; LEONARDO; JUPITER;,Grants; Operations;,Research Consortia; SMEs; Public Bodies;,"The project management arm of EuroHPC JU is responsible for overseeing the vast network of research projects and infrastructure acquisitions funded by the European Union and participating countries. They ensure that the continent's HPC investments are aligned with strategic goals and deliver tangible results.

By coordinating efforts across multiple member states, they foster a unified European HPC ecosystem. Their work includes managing the calls for proposals, monitoring project progress, and ensuring that the world-class supercomputing resources are effectively utilized by European scientific and industrial communities."
IQM (Fabrication Team),2023-03-05,fab@meetiqm.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20immigration.svg,https://meetiqm.com/,Finland,EU,280,2018,IQM Finland Oy (Fab Division),Quantum Chip Fabrication,Superconducting Circuits; Lithography; Cleanroom;,Dilution Refrigerators; Electron-beam lithography;,Hardware Mfg; Research;,Supercomputing Centers; Tech Companies;,"IQM's fabrication division operates one of the most advanced quantum chip manufacturing facilities in Europe. Based in Finland, this team is responsible for the design, lithography, and quality control of the superconducting processors that power IQM's quantum computers.

Their expertise in nanofabrication and cryogenics allows them to produce high-fidelity qubits and complex quantum circuits at scale. By controlling the entire manufacturing process in-house, IQM can rapidly iterate on new designs and ensuring that their hardware meets the demanding requirements of exascale-class quantum advantage."
Scaleway (AI Infra),2023-02-15,ai-infra@scaleway.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20escalator.svg,https://scaleway.com/,France,EU,600,1999,Scaleway SAS (Infrastructure Team),Managed AI Infrastructure,GPU Clusters; Data Engineering; Sustainability;,NVIDIA H100; Kubernetes; S3 Storage;,Cloud Services; Operations;,AI Startups; Tech Teams; R\u0026D;,"Scaleway's AI infrastructure team is responsible for architecting and maintaining the high-performance GPU clusters that power many of Europe's AI startups. They focus on delivering reliable, scalable, and energy-efficient cloud resources for the most demanding AI training and inference workloads.

Through the use of advanced cooling technologies and green energy, they aim to provide a sustainable foundation for the European AI ecosystem. Their work includes optimizing the network and storage layers to ensure that massive AI models can be trained and deployed with minimal overhead, supporting the continent's digital growth."
Eviden (Quantum Simulation),2023-01-20,quantum@eviden.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20shower.svg,https://eviden.com/,France,Global,47000,2023,Eviden SAS (Quantum Labs),Quantum Computing Simulation,Quantum Algorithms; Benchmarked Simulation;,QLM; Qaptiva; MyQLM;,Software; Systems; Consulting;,Research centers; Finance; Industry;,"Eviden's quantum lab is a global leader in providing quantum computing simulation platforms (QLM). Their technology allows researchers to develop and test quantum algorithms on classical supercomputers, preparing them for the arrival of fault-tolerant quantum hardware.

The lab also collaborates with hardware providers to integrate quantum accelerators into traditional HPC environments, paving the way for hybrid computing systems. Their focus on the ""quantum learning machine"" approach is essential for training the next generation of quantum programmers and accelerating the discovery of quantum-ready solutions for industry."
Nordic Quantum (Research),2023-01-05,research@nordicquantum.dk,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/transport%20ferry%20boat%20tour.svg,https://nordicquantum.dk/research,Denmark,EU,15,2022,Nordic Quantum Research Lab,Quantum Error Correction; Photonic Chips;,Squeezed Light; Quantum Memory; Interferometry;,Hardware; R\u0026D; IP;,Research; Universities;,Research; Industry;,"Nordic Quantum's research division is dedicated to the fundamental development of photonic quantum components and error-correction protocols. Based in Copenhagen, the lab focuses on the use of continuous-variable quantum systems for scalable and fault-tolerant computing.

By collaborating with leading European universities, the lab is pushing the boundaries of what is possible with photonic chips and squeezed light. Their research is essential for building the physical foundation of future quantum supercomputers, ensuring that Europe remains at the cutting edge of quantum optics."
HPC Now! (Training),2022-12-15,training@hpcnow.com,https://hpcnow.com/training.png,https://hpcnow.com/training,Spain,Global,10,2015,HPCNow! Training Academy,HPC Skills \u0026 Education,Parallel Programming; System Admin; AI Ops;,MPI; OpenMP; GPU Programming;,Training; Workshops; Certification;,Researchers; IT Pros; Students;,"The HPCNow! Training Academy is a specialized branch focused on bridging the skills gap in the high-performance computing industry. They offer a comprehensive curriculum covering everything from basic cluster usage to advanced parallel algorithm engineering.

Through hands-on workshops and online courses, the academy has trained hundreds of professionals from across the globe. Their instructors are experienced HPC consultants who bring real-world problems and solutions into the classroom, ensuring that participants gain practical, job-ready skills for the exascale era."
LightOn (Systems),2022-11-20,systems@lighton.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/animal%20dog%20leash.svg,https://lighton.ai/systems,France,Global,20,2018,LightOn Systems Division,AI-Integrated HPC Clusters,Hybrid Computing; Rack-Scale AI; Energy Efficiency;,OPU; Liquid Cooling; 100G Networking;,Hardware; Integration; Services;,Data Centers; Research Centers;,"LightOn's systems division specializes in the design and integration of high-performance AI clusters that combine traditional compute with specialized accelerators. They focus on providing low-carbon, energy-efficient solutions for the most demanding machine learning and scientific simulation workloads.

By leveraging their expertise in optical computing and liquid cooling, LightOn Systems delivers custom-built configurations that offer superior performance per watt. They work with data center operators and research institutes to deploy scalable AI infrastructure that meets the rigorous demands of the modern digital economy."
Wave Computing (Architecture),2022-10-10,arch@wavecomp.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20waiting%20room.svg,https://wavecomp.ai/architecture,Austria,Global,10,2021,Wave Computing Austria R\u0026D,Next-Gen AI Microarchitecture,Dataflow Computing; Scalable AI cores;,MIPS-based AI; TPU design; Low-power silicon;,IP Development; R\u0026D;,Semiconductor OEMs; Automotive;,"The architecture team at Wave Computing Austria is dedicated to the fundamental design of next-generation AI processing units. They focus on developing scalable, dataflow-driven microarchitectures that can be integrated into a wide variety of silicon products, from edge devices to exascale servers.

By innovating at the hardware-software interface, the team aims to provide the most efficient platform for modern neural network architectures. Their work in Austria is a critical part of Wave Computing's global strategy to lead the transition towards specialized, high-efficiency AI hardware."
AISC (Verification),2022-09-05,verify@aisc.be,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20laboratory.svg,https://aisc.be/verification,Belgium,EU,5,2022,AISC Verification Services,Hardware Functional Verification,Formal Verification; Simulation-based testing;,SystemVerilog; UVM; Formal tools;,Services; Consulting;,Chip Designers; Startups;,"AISC Verification Services provides specialized hardware verification expertise to help semiconductor companies ensure the correctness and reliability of their AI and HPC chip designs. They utilize state-of-the-art formal and simulation-based methodologies to find complex bugs early in the design cycle.

Their team of verification engineers works closely with design teams across Europe, providing the rigorous testing and validation necessary for high-stakes silicon projects. By ensuring that custom AI accelerators meet their functional specifications, AISC is a vital partner for the success of the European semiconductor industry."
ExaScaler (Benchmarking),2022-08-12,bench@exascaler.it,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/animal%20deer%20game.svg,https://exascaler.it/benchmarking,Italy,EU,5,2023,ExaScaler Engineering Services,HPC Performance Benchmarking,Application Profiling; Scalability Analysis;,VTune; Score-P; Vampir;,Services; Reports;,HPC Centers; ISVs;,"ExaScaler's benchmarking division provides detailed performance analysis and scalability reports for scientific and industrial applications running on large-scale HPC systems. They use advanced profiling tools to identify bottlenecks and suggest optimizations that can significantly improve time-to-solution.

By providing independent and rigorous benchmarking, ExaScaler helps organizations make informed decisions about their hardware and software investments. Their expertise in performance engineering is essential for ensuring that Europe's supercomputers are being used as effectively and efficiently as possible."
Quantropi (Solutions),2022-07-20,solutions@quantropi.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20dirt%20bike.svg,https://quantropi.com/solutions,Luxembourg,Global,10,2021,Quantropi Solutions Group,Quantum-Safe Integration,Secure Implementation; Cloud Migration;,QiSpace SDK; Post-quantum VPN; API;,Managed Services; Consulting;,Enterprises; Governments; Telecom;,"The Quantropi Solutions Group focuses on the practical implementation of quantum-safe cryptographic technologies within existing enterprise and government infrastructure. They provide the integration expertise and managed services needed to protect data against future quantum threats without disrupting current operations.

Through their cloud-based QiSpace platform, they offer a wide range of quantum-safe tools that can be easily consumed by businesses of all sizes. Their team works with clients across Europe to build a resilient and secure digital future, ensuring that critical data remains protected in the post-quantum era."
BioImage (AI Analytics),2022-06-15,analytics@bioimage.eu,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20recycling.svg,https://bioimage.eu/analytics,Finland/EU,EU,10,2016,BioImage AI Solutions,Machine Learning for Microscopy,Automated Annotation; Feature Extraction;,Cellpose; DeepFocus; ImageJ-AI;,Software; SaaS;,Medical Researchers; Biotech;,"BioImage AI Solutions provides advanced machine learning tools for the automated analysis of biological and medical micro-images. Their platform enables researchers to extract quantitative data from complex datasets with high accuracy and minimal manual effort.

By integrating deep learning models into standard microscopy workflows, BioImage helps scientists accelerate their research in fields like oncology, neurobiology, and drug development. Based in Finland, the company is a key contributor to the European bioimaging ecosystem, providing the AI tools necessary to turn visual data into scientific knowledge."
Almerys (Predictive Health),2022-05-10,predict@almerys.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20exit.svg,https://almerys.com/predictive-health,France,EU,20,2018,Almerys Health Analytics,AI-Powered Health Forecasting,Personalized Medicine; Risk Prediction;,Health Records; NLP; Deep Learning;,Software; Consulting;,Hospitals; Insurance; Public Health;,"Almerys's predictive health division utilizes large-scale medical data and advanced AI to develop forecasting tools for disease risk and treatment outcomes. Their algorithms analyze historical health records to provide personalized insights and early warning systems for healthcare providers.

By combining clinical data with lifestyle and environmental factors, Almerys aims to empower patients and doctors with the data-driven knowledge needed for proactive and preventative medicine. Their focus on explainable AI ensures that their predictions are transparent and trustworthy for the medical community."
Swiss HPC (Engineering),2022-04-12,eng@swisshpc.ch,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20telephone%20volume%20control.svg,https://swisshpc.ch/engineering,Switzerland,Global,30,2005,Swiss HPC Engineering AG,HPC System Integration,Custom Liquid Cooling; Energy Mgmt;,Direct Liquid Cooling; IPMI; SNMP;,Hardware; Services;,Data Centers; Cloud Providers;,"Swiss HPC Engineering specializes in the design and construction of custom high-performance computing systems with a focus on maximum energy efficiency. They are pioneers in the application of advanced direct liquid cooling technologies for large-scale server deployments.

Their team of mechanical and electrical engineers works with clients to build bespoke infrastructure that minimizes the total cost of ownership while providing the compute power necessary for intensive AI and simulation workloads. Based in Switzerland, the company leverages the country's strong engineering tradition to deliver world-class HPC solutions."
Neural Magic (Optimization),2022-03-25,opt@neuralmagic.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20check%20tick%20checkmark%20punctuation%20correct%20grade.svg,https://neuralmagic.com/optimization,Germany/USA,Global,10,2020,Neural Magic Optimization Lab,Model Sparsification Research,Automated Pruning; Quantization;,SparseZoo; DeepSparse Engine;,Research; Software IP;,AI Developers; Embedded;,"Neural Magic's optimization lab is dedicated to the research and development of the most advanced model sparsification and pruning techniques. Their mission is to push the boundaries of how much a deep learning model can be compressed without losing accuracy, allowing it to run efficiently on standard CPU hardware.

Through their open-source SparseZoo repository, they provide a wide range of pre-optimized models for common AI tasks. Their team works with the European research community and industry to democratize high-performance AI, making it accessible even on hardware with limited computational and memory resources."
Astra (Bio-Sim),2022-02-18,sim@astra-hpc.se,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20snowflake%20snowflake.svg,https://astra-hpc.se/molecular-simulation,Sweden,EU,10,2022,Astra Bio-Simulation Lab,Molecular Dynamics for Drug Discovery,GROMACS; AMBER; High-throughput screening;,HPC Clusters; GPU Acceleration; Cloud;,Services; Consulting;,Biotech Startups; Pharma;,"Astra's Bio-Simulation Lab provides specialized molecular dynamics and virtual screening services to help biotech companies accelerate their drug discovery pipelines. They utilize high-performance computing to run large-scale simulations that can predict the interactions between drugs and their biological targets with high accuracy.

By providing both the computational resources and the expert knowledge needed to interpret the results, the lab helps researchers make faster and more informed decisions. Based in Sweden, Astra Bio-Simulation is a vital part of the Nordic life sciences ecosystem, leveraging HPC to solve the world's most complex medical challenges."
Estonia Quantum (Algorithms),2022-01-10,algo@estonia-quantum.ee,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20library%20reading.svg,https://estonia-quantum.ee/algorithms,Estonia,EU,15,2022,Estonia Quantum Lab,Quantum Algorithm Engineering,Optimization; Cryptography; FinTech;,Cirq; Qiskit; Python; Quantum Simulators;,Software; R\u0026D;,Finance; Cybersecurity; Government;,"Estonia Quantum Lab is a research-focused startup dedicated to developing practical quantum algorithms for the financial and cybersecurity sectors. Based in the digital hub of Tallinn, the lab focuses on solving complex optimization problems in portfolio management and risk analysis.

By collaborating with leading Estonian tech companies and government agencies, the lab aims to ensure that the country remains at the forefront of the quantum revolution. Their research into quantum-safe cryptography and its integration into digital identity systems is a key part of Estonia's long-term digital sovereignty strategy."
EPI (Processor Design),2021-12-05,design@epi-consortium.eu,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20lock%20secure%20private%20safe%20unlocked.svg,https://www.european-processor-initiative.eu/design,Pan-European,EU,50,2018,EPI General Purpose Processor Team,HPC Processor Microarchitecture,ARM Neoverse; High-speed Interconnects; HBM;,Rhea; TSMC 6nm; VLIW;,IP Design; Hardware;,HPC OEMs; Cloud Providers;,"The general-purpose processor design team within the European Processor Initiative is responsible for the fundamental architecture of Rhea, Europe's first sovereign HPC chip. Based on the ARM Neoverse technology, Rhea is specifically optimized for exascale computing, providing high memory bandwidth and energy efficiency.

By bringing together hundreds of semiconductor experts from across Europe, the team is building the technological foundation for the continent's most critical digital infrastructure. Their work in design, verification, and physical implementation is a major step towards Europe's goal of technological independence in the high-stakes field of high-performance computing."
Zilliz (Vector AI),2021-11-20,vector@zilliz.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20running.svg,https://zilliz.com/vector-db,Luxembourg,Global,20,2019,Zilliz Vector Search Lab,Vector Database R\u0026D,Semantic Search; Image Embedding; LLM data;,Milvus 2.0; Cloud Native; Distributed;,Software; Cloud;,AI Engineers; Developers;,"The Vector AI lab at Zilliz is dedicated to the research and development of the most efficient vector search and data management technologies. Their mission is to provide the data layer for modern generative AI applications, enabling the management and searching of massive amounts of unstructured data with unprecedented speed and scale.

Based in Luxembourg, the lab works closely with the European AI developer community to integrate their open-source Milvus technology into various AI stacks. Their research into high-dimensional indexing and distributed vector processing is essential for the next generation of intelligent applications, from recommendation systems to scientific discovery."
Prodigy (EU Integration),2021-10-15,integrate@tachyum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20eye.svg,https://tachyum.com/prodigy-integration,Slovakia/USA,Global,30,2020,Tachyum Slovakia Engineering,Universal Processor Integration,HPC Cluster Design; Server Motherboards;,Prodigy CPU; DDR5; PCIe 5.0;,Systems; Engineering; Support;,HPC Builders; Data Centers;,"Tachyum's integration team in Slovakia works closely with system builders and data center operators to bring the Prodigy universal processor into real-world production. They provide the necessary engineering expertise to design and build servers and clusters that can fully leverage the performance and efficiency of the Prodigy architecture.

By delivering reference designs and hands-on technical support, the team ensures a smooth transition to the universal computing model for their European customers. Their focus on the practical integration aspects is critical for the broad adoption of Tachyum's innovative chip technology in the European market."
Groq (Inference Lab),2021-09-10,inference@groq.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/transport%204%20wheeler%20atv.svg,https://groq.com/inference-lab,Germany/USA,Global,20,2022,Groq AI Inference Lab,High-Performance AI Inference,LLM serving; Low-latency AI; Real-time serving;,LPU; PyTorch; TensorFlow; GroqFlow;,Software; Benchmarking;,Enterprise; Tech Teams;,"Groq's AI inference lab in Germany is dedicated to the benchmarking and optimization of large language models on their LPU™ (Language Processing Unit) hardware. The lab provides European enterprises with the performance analysis and integration expertise needed to serve AI models with the lowest possible latency.

By providing a dedicated environment for exploring the capabilities of the Groq architecture, the lab is accelerating the deployment of real-time AI applications across the continent. Their mission is to show that specialized inference hardware can provide a superior experience for both developers and end-users, especially for long-context generative AI."
Kipu (Digital-Analog),2021-08-05,da-quantum@kipu-quantum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20anchor%20marina.svg,https://kipu-quantum.com/digital-analog-quantum,Germany,EU,10,2022,Kipu Digital-Analog Lab,Digital-Analog Quantum Algorithms,Continuous variable quantum; Hybrid systems;,Python; Quantum Hardware API;,Research; Software IP;,Research Centers; Industry;,"Kipu's Digital-Analog Lab is a research-focused group dedicated to the fundamental development of digital-analog quantum computing protocols. They aim to leverage the best of both worlds—the precision of digital gates and the efficiency of analog simulation—to build quantum solutions that can reach practical advantage sooner.

Based in Karlsruhe, the lab collaborates with hardware providers to test and validate their protocols on various quantum platforms. Their research is at the forefront of the global effort to build a useful quantum computer for industrial applications, ensuring that European-based innovation remains a leader in the quantum field."
Eleuther (Community),2021-07-15,eu-community@eleuther.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20sun.svg,https://eleuther.ai/community,Non-Profit,Global,20,2021,EleutherAI Community Hub,Open AI Research Coordination,Collaboration; Model evaluation; Ethics;,Github; Discord; Scientific publishing;,Community Support; Data Access;,Researchers; Developers; Public;,"The EleutherAI Community Hub is a pan-European decentralized network of researchers and developers dedicated to the collaborative development of open-source AI. They host events, coordinate massive model training runs, and provide the infrastructure for international research projects that would be impossible for single labs to undertake.

By fostering an open and inclusive community, they are democratizing AI research and ensuring that the most advanced technologies are subject to broad public scrutiny and scientific rigor. Their focus on transparency and ethical AI is essential for building public trust in artificial intelligence across Europe."
Earth-AI (Norway),2021-06-20,info@earth-ai.no,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20star%20star%20like%20save%20favourite.svg,https://www.earth-ai.no/,Norway,Global,15,2022,Earth-AI Solutions AS,AI for Geo-Spatial Environmentalism,Satellite Data Fusion; Predictive Ecology;,Deep Learning; GIS; Remote Sensing;,Software; Services;,Climate Researchers; NGOs; Gov;,"Earth-AI Solutions (Norway) utilizes high-performance computing and advanced AI to help organizations understand and protect the natural world. Their platform provides high-resolution insights into biodiversity health, climate impact, and sustainable resource use, based on massive satellite and sensor datasets.

Based in Oslo, the company leverages Norway's strong tradition in environmental science and international cooperation. They work with European researchers and global organizations to build data-driven tools for conservation and climate action, using AI to turn raw environmental data into actionable knowledge for a better future."
Hadean (Simulation Lab),2021-05-15,lab@hadean.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/building%20sleeping%20shelter.svg,https://hadean.com/spatial-simulation-lab,UK,Global,20,2017,Hadean Spatial Simulation Lab,Distributed Systems Research,Spatial OS; Scalability; Real-time AI;,Rust; WebAssembly; Distributed Cloud;,Software; R\u0026D;,Defense; Gaming; Infrastructure;,"Hadean's Spatial Simulation Lab is a research and development group dedicated to the fundamental challenges of massive, distributed real-time simulations. They focus on developing the core software architectural patterns and protocols needed to build scalable, AI-rich virtual worlds that can support millions of simultaneous entities.

Beyond its application in gaming, the lab explores the use of its technology for complex urban planning, disaster response simulation, and logistics optimization. Their work in the UK is a critical part of Hadean's global mission to build the infrastructure for the next generation of massive spatial applications."
Cambridge Quantum (Software),2021-04-10,info@cambridgequantum.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20mental%20health.svg,https://cambridgequantum.com/,UK,Global,450,2014,Cambridge Quantum Computing Ltd.,Quantum Operating Systems \u0026 Apps,TKET; Cybersecurity; Optimization;,IronBridge; EUMEN; Python; C++;,Software; IP; Services;,Global 500; Finance; Pharma;,"Cambridge Quantum (now part of Quantinuum) is a global leader in quantum software and cybersecurity. Their TKET compiler is a cornerstone of the world's quantum software ecosystem, providing the hardware-agnostic layer needed to run quantum programs on various architectures.

Their research and development efforts span across quantum chemistry (EUMEN) and quantum-proof encryption (IronBridge). By building a comprehensive software stack, Cambridge Quantum's teams in the UK are ensuring that the world can fully leverage the computational power of the quantum era, from scientific discovery to digital security."
Prophesee (Neuromorphic Lab),2021-03-20,lab@prophesee.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/human%20head.svg,https://www.prophesee.ai/research,France,Global,20,2015,Prophesee Neuromorphic R\u0026D,Event-Based Vision Algorithms,Eye-inspired sensors; Low-power AI;,Metavision SDK; C++; Python;,R\u0026D; IP; Software;,Automotive; Manufacturing; IoT;,"Prophesee's neuromorphic research lab in Paris is dedicated to the fundamental development of event-based vision algorithms and hardware architectures. Inspired by human perception, their team focuses on creating sensors and AI models that only process dynamic changes in a scene, offering extreme efficiency and speed.

By collaborating with leading European research centers, the lab is pushing the boundaries of what is possible with neuromorphic engineering. Their research is essential for a wide range of applications, from ultra-fast industrial inspection to low-power computer vision in mobile and embedded devices, contributing to Europe's leadership in bio-inspired AI."
Graphcore (IPU Support),2021-02-15,support@graphcore.ai,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20pin%20map%20location%20position.svg,https://www.graphcore.ai/support,Norway/UK,Global,50,2018,Graphcore Technical Support,AI Hardware Support \u0026 Training,IPU Optimization; Developer Education;,Poplar SDK; PyTorch; TensorFlow;,Services; Training; Support;,AI Engineers; Research Institutes;,"The technical support and education team at Graphcore provides the necessary expertise and resources to help developers and researchers fully leverage the power of the Intelligence Processing Unit (IPU). They offer a wide range of documentation, tutorials, and targeted workshops across Europe.

Through hands-on support and performance analysis, they help users optimize their AI models for the IPU's unique architecture, ensuring high performance and efficiency. Their mission is to bridge the gap between specialized hardware and software developers, fostering a strong and productive ecosystem around Graphcore's innovative chips."
DeepL (Data Engineering),2021-01-20,data@deepl.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/object%20burger.svg,https://www.deepl.com/data-engineering,Germany,Global,50,2017,DeepL SE Data Team,AI Curation \u0026 Data Pipelines,Big Data; NLP; Data Privacy;,Spark; Hadoop; Python; PostgreSQL;,Internal Services; Infrastructure;,DeepL R\u0026D; Legal; Compliance;,"DeepL's data engineering team is responsible for the massive, complex pipelines that collect, clean, and curate the multilingual datasets used to train their world-class language models. They focus on maintaining the highest quality standards and ensuring full compliance with European data privacy regulations.

By developing innovative ways to process and contextualize linguistic data, they provide the essential foundation for DeepL's research and application teams. Their work in Cologne is critical for the continuous improvement and expansion of DeepL's translation and writing services, reinforcing the company's position as a global leader in language AI."
Pasqal (Physics Lab),2020-12-10,physics@pasqal.com,https://raw.githubusercontent.com/apancik/public-domain-icons/master/dist/symbol%20cursor%20pointer%20mouse.svg,https://www.pasqal.com/physics-research,France,Global,20,2019,Pasqal Fundamental Physics Lab,Neutral Atom Quantum R\u0026D,Laser Trapping; Qubit Coherence; Scaling;,Rydberg atoms; Optical lattices; Vacuum systems;,R\u0026D; Hardware;,Quantum Community; Public Body;,"Pasqal's fundamental physics lab is the heart of their quantum hardware innovation. Led by world-class physicists, the team focuses on improving the stability, coherence, and scalability of their neutral atom quantum processors.

Through meticulous laser control and innovative trap designs, they aim to build quantum computers with hundreds and eventually thousands of high-fidelity qubits. The lab's research into the fundamental properties of Rydberg atoms and their interactions is essential for pushing the boundaries of what is possible with neutral atom quantum computing, ensuring Europe's leadership in this strategic field."
EuroHPC JU (Network),2020-11-20,network@eurohpc-ju.europa.eu,https://eurohpc-ju.europa.eu/network-logo.svg,https://eurohpc-ju.europa.eu/infrastructure-network,Luxembourg,EU,10,2018,EuroHPC JU Networking \u0026 Hub,Pan-European HPC Coordination,Knowledge Exchange; Hub Operations; Industry;,G\u00c9ANT; HPC Hubs; Collaboration Tools;,Coordination; Support; Networking;,National Competence Centers; SMEs;,"The networking and coordination hub of EuroHPC JU is responsible for building a strong and unified European HPC community. They facilitate knowledge exchange, foster collaborations between academia and industry, and support the establishment of National Competence Centers for HPC across all participating countries.

By providing a common platform for networking and strategic planning, they ensure that the continent's supercomputing efforts are more than the sum of their parts. Their mission is to create a vibrant and inclusive ecosystem where researchers and companies of all sizes can easily find the resources and expertise they need to succeed in the high-performance computing era."
